 accp4 accp4c accp4p
891 0.278 1.000 0.999
892 0.278 1.000 0.999
893 0.278 1.000 0.999
894 0.279 1.000 0.999
895 0.279 1.000 0.999
896 0.279 1.000 0.999
897 0.279 1.000 0.999
898 0.279 1.000 0.999
899 0.279 1.000 0.999
900 0.279 1.000 0.999
901 0.279 1.000 0.999
902 0.280 1.000 0.999
903 0.280 1.000 0.999
904 0.280 1.000 0.999
905 0.280 1.000 0.999
906 0.281 1.000 0.999
907 0.281 1.000 0.999
908 0.281 1.000 0.999
909 0.281 1.000 0.999
910 0.281 1.000 0.999
911 0.281 1.000 0.999
912 0.281 1.000 0.999
913 0.281 1.000 0.999
914 0.281 1.000 0.999
915 0.282 1.000 0.999
916 0.282 1.000 0.999
917 0.282 1.000 0.999
918 0.282 1.000 0.999
919 0.282 1.000 0.999
920 0.282 1.000 0.999
921 0.282 1.000 0.999
922 0.282 1.000 0.999
923 0.283 1.000 0.999
924 0.283 1.000 0.999
925 0.283 1.000 0.999
926 0.284 1.000 0.999
927 0.284 1.000 0.999
928 0.284 1.000 0.999
929 0.284 1.000 0.999
930 0.284 1.000 0.999
931 0.284 1.000 0.999
932 0.284 1.000 0.999
933 0.284 1.000 0.999
934 0.285 1.000 0.999
935 0.285 1.000 0.999
936 0.285 1.000 0.999
937 0.285 1.000 0.999
938 0.285 1.000 0.999
939 0.286 1.000 0.999
940 0.286 1.000 0.999
941 0.286 1.000 0.999
942 0.286 1.000 0.999
943 0.286 1.000 0.999
944 0.286 1.000 0.999
945 0.286 1.000 0.999
946 0.287 1.000 0.999
947 0.287 1.000 0.999
948 0.287 1.000 0.999
949 0.287 1.000 0.999
950 0.287 1.000 0.999
951 0.287 1.000 0.999
952 0.288 1.000 0.999
953 0.288 1.000 0.999
954 0.288 1.000 0.999
955 0.288 1.000 0.999
956 0.288 1.000 0.999
957 0.288 1.000 0.999
958 0.288 1.000 0.999
959 0.288 1.000 0.999
960 0.288 1.000 0.999
961 0.288 1.000 0.999
962 0.288 1.000 0.999
963 0.289 1.000 0.999
964 0.289 1.000 0.999
965 0.289 1.000 0.999
966 0.289 1.000 0.999
967 0.289 1.000 0.999
968 0.289 1.000 0.999
969 0.289 1.000 0.999
970 0.289 1.000 0.999
971 0.289 1.000 0.999
972 0.289 1.000 0.999
973 0.289 1.000 1.000
974 0.289 1.000 1.000
975 0.289 1.000 1.000
976 0.290 1.000 1.000
977 0.290 1.000 1.000
978 0.290 1.000 1.000
979 0.290 1.000 1.000
980 0.290 1.000 1.000
981 0.290 1.000 1.000
982 0.290 1.000 1.000
983 0.290 1.000 1.000
984 0.290 1.000 1.000
985 0.290 1.000 1.000
986 0.290 1.000 1.000
987 0.290 1.000 1.000
988 0.290 1.000 1.000
989 0.290 1.000 1.000
990 0.290 1.000 1.000
991 0.291 1.000 1.000
992 0.291 1.000 1.000
